sciName,id,phylosort,mainCommonName_EN,otherCommonName_EN,subclass,infraclass,magnorder,superorder,taxonOrder,suborder,infraorder,parvorder,superfamily,taxonFamily,subfamily,tribe,genus,subgenus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authorityParentheses,originalNameAsDescribed,authoritySpeciesCitation,authoritySpeciesLink,typeVoucher,typeKind,typeVoucherURIs,verbatimTypeLocality,typeLocalityLatitude,typeLocalityLongitude,nominalNames,taxonomyNotes,taxonomyNotesCitation,distributionNotes,distributionNotesCitation,subregionDistribution,countryDistribution,continentDistribution,biogeographicRealm,iucnStatus,extinct,domestic,flagged,CMW_sciName,diffSinceCMW,MSW3_matchtype,MSW3_sciName,diffSinceMSW3,...51,authority,scientificNameAuthorship,externalTaxonIdentifiers,taxonClass,species
Tachyglossus_aculeatus,1000002,1,Short-beaked Echidna,Australian Echidna|Short-nosed Echidna|Spiny Anteater|Bristly Echidna|Kangaroo Island Echidna,Yinotheria,Australosphenida,NA,NA,Monotremata,NA,NA,NA,NA,Tachyglossidae,NA,NA,Tachyglossus,NA,aculeatus,G. K. Shaw,1792,1,Myrmecophaga aculeata,"Shaw, G.K. 1792-07. [Fascicle XXXVI]. Pp. pl. 108–pl. 110 in Shaw, G.K. 1791-1792. The Naturalist's Miscellany: or, coloured figures of natural objects; drawn and described immediately from nature. Vol. 3. Nodder, London, not continuously paginated pp.",https://www.biodiversitylibrary.org/page/59564684,NA,NA,NA,"“New Holland [= Sydney]”, New South Wales, Australia.",NA,NA,"aculeatus (G. K. Shaw, 1792)|novaehollandiae (de Lacépède, 1799)|hystrix (Home, 1802) [nomen novum]|histrix (É. Geoffroy Saint-Hilaire, 1803) [preoccupied]|setosus (É. Geoffroy Saint-Hilaire, 1803)|breviaculeatus (Tiedemann, 1808)|longiaculeatus (Tiedemann, 1808) [nomen novum]|myrmecophagus (Goldfuss, 1809)|longirostrus (Perry, 1810)|australiensis (Lesson, 1827)|eracinius (Mudie, 1829)|australis (Lesson, 1838)|histrix (G. R. Waterhouse, 1838) [incorrect subsequent spelling]|brevicaudata (J. E. Gray, 1865) [not used as valid]|corealis (Krefft, 1872)|orientalis (Krefft, 1872)|lawesii E. P. Ramsay, 1877|acanthion (R. Collett, 1885)|typicus (O. Thomas, 1885) [nomen novum]|multiaculeatus (W. Rothschild, 1905)|ineptus O. Thomas, 1906|hobartensis (Kowarzik, 1909) [nomen nudum]|sydneiensis (Kowarzik, 1909) [nomen novum]",NA,NA,"Continental Australia, including Tasmania, Groote Eylandt, and Bigge, Mua (Hitchcock et al., 2014), Dunk, Magnetic, Fraser, North Stradbroke, King, Flinders, and Kangaroo Is, and coastal and highland regions of SE and E New Guinea (including Markham Valley), both C and S Papua New Guinea and SE Papua Province, Indonesia.","Hitchcock, G., Conaty, S., Fell, D., Gordon, G., Reis, T., & Stanton, D. (2014). Range extension of the short-beaked echidna Tachyglossus aculeatus (Monotremata: Tachyglossidae) and the northern brown bandicootIsoodon macrourus (Marsupialia: Peramelidae) in Queensland: Mua (Moa Island), Torres Strait. Memoirs of the Queensland Museum, 59, 1-7.","Australia(SA,TAS,NT,NSW,WA,VIC,ACT,QLD)|Indonesia(PP)",Australian Echidna;Short-nosed Echidna;Spiny Anteater;Bristly Echidna;Kangaroo Island Echidna,Oceania,Australasia,LC,0,0,0,Tachyglossus_aculeatus,0,sciname match,Tachyglossus_aculeatus,0,NA,Shaw,"(Shaw, 1792)",mdd:1000002,Mammalia,Tachyglossus aculeatus
Zaglossus_attenboroughi,1000003,1,Attenborough's Long-beaked Echidna,Attenborough's Echidna|Attenborough's Long-nosed Echidna|Cyclops Long-beaked Echidna|Cyclops Long-nosed Echidna|Sir David's Long-beaked Echidna|Sir David's Long-nosed Echidna,Yinotheria,Australosphenida,NA,NA,Monotremata,NA,NA,NA,NA,Tachyglossidae,NA,NA,Zaglossus,NA,attenboroughi,Flannery & Groves,1998,0,Zaglossus attenboroughi,"Flannery, T.F. and Groves, C.P. 1998. A revision of the genus _Zaglossus_ (Monotremata, Tachyglossidae), with description of new species and subspecies. Mammalia 62(3):367-396.",https://doi.org/10.1515/mamm.1998.62.3.367,"RMNH.MAM.17301.a, RMNH.MAM.17301.b",holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.17301.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.17301.b,"“‘Oost-top, Berg Rara, 1600 m,’ Cyclops Mountains, Dutch New Guinea [= Irian Jaya, New Guinea, Indonesia].”",NA,NA,"attenboroughi Flannery & Groves, 1998",may be a synonym of bartoni,"Leary, T., Seri, L., Flannery, T., Wright, D., Hamilton, S., Helgen, K., Singadan, R., Menzies, J., Allison, A., James, R., Aplin, K., Salas, L. & Dickman, C. 2016. Zaglossus attenboroughi. The IUCN Red List of Threatened Species 2016: e.T136322A21964353. Downloaded on 12 September 2020.","Known from a single specimen collected from Berg Rara Mt in the Cyclops Mts, extreme N Papua Province, Indonesia on New Guinea. No other records of the species exist and it may be extinct, although an expedition to the Cyclops Mts in 2007 found recent digging activity and burrows, as well as local knowledge of the species, that implies the species is still there (Baillie et al., 2009).","Baillie, J. E., Turvey, S. T., & Waterman, C. (2009). Survival of Attenborough's long-beaked echidna Zaglossus attenboroughi in New Guinea. Oryx, 43(1), 146-148.",Indonesia(PP),Attenborough's Echidna;Attenborough's Long-nosed Echidna;Cyclops Long-beaked Echidna;Cyclops Long-nosed Echidna;Sir David's Long-beaked Echidna;Sir David's Long-nosed Echidna,Oceania,Australasia,CR,0,0,0,Zaglossus_attenboroughi,0,sciname match,Zaglossus_attenboroughi,0,NA,Flannery & Groves,"Flannery & Groves, 1998",mdd:1000003,Mammalia,Zaglossus attenboroughi
Zaglossus_bartoni,1000004,1,Eastern Long-beaked Echidna,Barton's Long-beaked Echidna,Yinotheria,Australosphenida,NA,NA,Monotremata,NA,NA,NA,NA,Tachyglossidae,NA,NA,Zaglossus,NA,bartoni,O. Thomas,1907,1,Acanthoglossus Bruijnii Bartoni,"Thomas, O. 1907-09-01. On the occurrence of _Acanthoglossus_ in British New Guinea. Annals and Magazine of Natural History (7)20(117):293-294.",https://www.biodiversitylibrary.org/page/26413535,BMNH:Mamm:1907.7.17.5,holotype,https://data.nhm.ac.uk/object/7d08a0dc-1d79-4ac4-8499-05c157b9bdca,"“Mount Victoria, British New Guinea [= Albert Edward Range, Papua New Guinea]”, alt 8000 ft [= 2438 m].",NA,NA,"bartoni (O. Thomas, 1907)|clunius O. Thomas & W. Rothschild, 1922|bubuensis Laurie, 1952|diamondi Flannery & Groves, 1998|smeenki Flannery & Groves, 1998",NA,NA,"Highlands of New Guinea, including the Central Range from the Paniai Lakes of C Papua Province, Indonesia to the SE peninsula of Papua New Guinea (including an isolated population in the Nanneau Mts, Oro Province), the Mts of the Huon Peninsula of Morobe Province, and the Foja Mts of Papua Province, extending to lower elevations on the S side of the Central Range.",NA,Indonesia(PP),Barton's Long-beaked Echidna,Oceania,Australasia,VU,0,0,0,Zaglossus_bartoni,0,sciname match,Zaglossus_bartoni,0,NA,Thomas,"(Thomas, 1907)",mdd:1000004,Mammalia,Zaglossus bartoni
Zaglossus_bruijnii,1000005,1,Western Long-beaked Echidna,Long-beaked Echidna|Long-nosed Echidna|Long-nosed Spiny Anteater|New Guinea Long-nosed Echidna,Yinotheria,Australosphenida,NA,NA,Monotremata,NA,NA,NA,NA,Tachyglossidae,NA,NA,Zaglossus,NA,bruijnii,W. C. H. Peters & Doria,1876,1,Tachyglossus bruijnii,"Peters, W.C.H. and Doria, G. 1876-12-03. Descrizione di una nuova specie di _Tachyglossus_ proveniente dalla Nuova Guinea settentrionale. Annali del Museo civico di storia naturale di Genova 9:183-187.",https://www.biodiversitylibrary.org/page/29875915,MSNG CE 1623,holotype,NA,"“Mons Arfak, Nova Guinea sept [= Arfak Mountains, Manokwari Division, Vogelkop Peninsula, Irian Jaya, Indonesia].”",NA,NA,"bruijnii (W. C. H. Peters & Doria, 1876)|tridactylus (A. Dubois, 1882) [nomen novum]|villosissimus (A. Dubois, 1884)|nigroaculeatus (W. Rothschild, 1893)|goodfellowi (O. Thomas, 1907)|gularis W. Rothschild in O. Thomas & W. Rothschild, 1922|pallidus W. Rothschild in O. Thomas & W. Rothschild, 1922|bruijni Honacki, Kinman, & Koeppl, 1982 [incorrect subsequent spelling]",NA,NA,"The Vogelkop Peninsula of Papua Province, Indonesia on New Guinea, including Salawati I (where it is possibly extinct) and possibly Batanta and Waigeo Is (Helgen, 2007). A specimen from the early 1900's has been identified in museum collections from Mt Anderson, Kimberley region of N Western Australia, Australia; however, this has been disputed and the specimen is likely a mislabled animal from New Guinea (Helgen et al., 2012; Burbidge, 2017).","Helgen, K. M. (2007). A Taxonomic and Geographic Overview of the Mammals of Papua. In: A. J. Marshall and B. M. Beehler (eds), The Ecology of Papua, pp. 689-749. Periplus Editions, Singapore.|Helgen, K. M., Miguez, R. P., Kohen, J. L., & Helgen, L. E. (2012). Twentieth century occurrence of the long-beaked echidna Zaglossus bruijnii in the Kimberley region of Australia. ZooKeys, (255), 103.|Burbidge, A. A. (2017). Did Zaglossus bruijnii occur in the Kimberley region of Western Australia?. Australian Mammalogy, 40(2), 315-318.",Indonesia(PP),Long-beaked Echidna;Long-nosed Echidna;Long-nosed Spiny Anteater;New Guinea Long-nosed Echidna,Oceania,Australasia,CR,0,0,0,Zaglossus_bruijnii,0,sciname match,Zaglossus_bruijni,0,NA,Peters & Doria,"(Peters & Doria, 1876)",mdd:1000005,Mammalia,Zaglossus bruijnii
Dasyurus_albopunctatus,1000147,6,New Guinea Quoll,NA,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Dasyurinae,NA,Dasyurus,NA,albopunctatus,Schlegel,1880,0,Dasyurus albopunctatus,"Schlegel, H. 1880. On _Dasyurus albopunctatus_. Notes from the Leyden Museum 2:51-53.",https://www.biodiversitylibrary.org/page/9629280,"RMNH.MAM.37157.a, RMNH.MAM.37157.b",holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.37157.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.37157.b,"Arfak Mtns, Sapoea, Manokwari Div., Vogelkop, Prov. of Papua (= Irian Jaya), New Guinea, Indonesia.",NA,NA,"albopunctatus Schlegel, 1880|fuscus A. Milne-Edwards, 1880|daemonellus O. Thomas, 1904",NA,NA,NA,NA,NA,NA,Oceania,Australasia,NT,0,0,0,Dasyurus_albopunctatus,0,sciname match,Dasyurus_albopunctatus,0,NA,Schlegel,"Schlegel, 1880",mdd:1000147,Mammalia,Dasyurus albopunctatus
Dasyurus_spartacus,1000151,6,Bronze Quoll,NA,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Dasyurinae,NA,Dasyurus,NA,spartacus,Van Dyck,1988,0,Dasyurus spartacus,"Van Dyck, S. 1988-08-29. The bronze quoll, _Dasyurus spartacus_ (Marsupialia: Dasyuridae), a new species from the savannahs of Papua New Guinea. Australian Mammalogy 11:145-156.",https://doi.org/10.1071/AM88018,PNGM 22000,holotype,NA,"Marehead, 8° 41' S, 141° 39' E, Trans-Fly Plains, Papua New Guinea.",-8.68333,141.65,"spartacus Van Dyck, 1988","may be a subspecies or synonym of D. geoffroii, although further studies are needed to verify this, considered a subspecies of D. geoffroii tentatively by Jackson & Groves, 2015","Jackson, S. M., & Groves, C. (2015). Taxonomy of Australian mammals. CSIRO Publishing, Austalia, Clayton.",NA,NA,NA,NA,Oceania,Australasia,NT,0,0,0,Dasyurus_spartacus,0,sciname match,Dasyurus_spartacus,0,NA,Van Dyck,"Van Dyck, 1988",mdd:1000151,Mammalia,Dasyurus spartacus
Myoictis_melas,1000154,6,Müller's Three-striped Dasyure,Three-striped Marsupial Mouse,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Dasyurinae,NA,Myoictis,NA,melas,S. Müller in Temminck,1840,1,Phascogale melas,"Temminck, C.J. 1840-03-21. No. 1. Pp. 1–32 in Temminck, C.J. 1840-1847. Verhandelingen over de natuurlijke geschiedenis der Nederlandsche overzeesche bezittingen. Land- en volkenkunde. S. en J. Luchtmans en C. C. van der Hoek, Leiden, 472 pp.",https://www.biodiversitylibrary.org/page/56901833,"RMNH.MAM.25750.a, RMNH.MAM.25750.b",holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.25750.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.25750.b,"""Nieuw-Guinea, in de triton's baai (op 3° 39' Z. breedte),"" Mt. Lamantsjieri, near Triton Bay, Lobo District, Fakfak Division, Prov. of Papua (= Irian Jaya), Indonesia.",-3.75,134.08333333333334,"melas (S. Müller in Temminck, 1840)|thorbeckiana (Schlegel, 1866)|bruijnii (W. C. H. Peters, 1875)|buergersi (G. Stein, 1932)|senex (G. Stein, 1932)",previously included M. wavica,"Woolley, P. A. (2005). Revision of the three-striped dasyures, genus Myoictis (Marsupialia: Dasyuridae), of New Guinea, with description of a new species. RECORDS-AUSTRALIAN MUSEUM, 57(3), 321.",NA,NA,NA,Three-striped Marsupial Mouse,Oceania,Australasia,LC,0,0,0,Myoictis_melas,0,sciname match,Myoictis_melas,0,NA,Müller in Temminck,"(Müller in Temminck, 1840)",mdd:1000154,Mammalia,Myoictis melas
Myoictis_wallacii,1000155,6,Wallace's Three-striped Dasyure,Wallace's Dasyure,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Dasyurinae,NA,Myoictis,NA,wallacii,J. E. Gray,1858,0,Myoictis Wallacii,"Gray, J.E. 1858-04-27. List of species of Mammalia sent from the Aru Islands by Mr. A. R. Wallace to the British Museum. Proceedings of the Zoological Society of London 1858:106-113.",https://www.biodiversitylibrary.org/page/32271604,BMNH:Mamm:1858.2.20.1,holotype,https://data.nhm.ac.uk/object/8afa5d76-38bf-4e99-88ab-55bd0c9f982c | https://data.nhm.ac.uk/object/b320777a-3337-497f-8ebf-783d1655f6c0,"""Aru Island,"" New Guinea.",NA,NA,"wallacii J. E. Gray, 1858|pilicauda (W. C. H. Peters & Doria, 1881)",NA,NA,NA,NA,NA,Wallace's Dasyure,Oceania,Australasia,LC (as Myoictis wallacei),0,0,0,Myoictis_wallacii,0,manual,Myoictis_wallacii,0,NA,Gray,"Gray, 1858",mdd:1000155,Mammalia,Myoictis wallacii
Neophascogale_lorentzii,1000157,6,Speckled Dasyure,Long-clawed Marsupial Mouse,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Dasyurinae,NA,Neophascogale,NA,lorentzii,Jentink,1911,1,Phascogale Lorentzii,"Jentink, F.A. 1911. New and interesting mammals of the Dutch New-Guinea-Expedition to the Snow-Mountains. Notes from the Leyden Museum 33:233-238.",https://www.biodiversitylibrary.org/page/13206534,"RMNH.MAM.36163.a, RMNH.MAM.36163.b, RMNH.MAM.36163.c",holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.36163.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.36163.b | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.36163.c,"Helwig Mtns, south of Mt. Wilhelmina, 2600 m, Djajawidjaja (= Jayawijaya) Division, Prov. of Papua (= Irian Jaya), New Guinea, Indonesia.",NA,NA,"lorentzii (Jentink, 1911)|venusta (O. Thomas, 1921)|rubrata (O. Thomas, 1922)|lorentzi Honacki, Kinman, & Koeppl, 1982 [incorrect subsequent spelling]",NA,NA,NA,NA,NA,Long-clawed Marsupial Mouse,Oceania,Australasia,LC,0,0,0,Neophascogale_lorentzii,0,manual,Neophascogale_lorentzi,0,NA,Jentink,"(Jentink, 1911)",mdd:1000157,Mammalia,Neophascogale lorentzii
Phascolosorex_doriae,1000159,6,Red-bellied Phascogale,Red-bellied Dasyure|Red-bellied Marsupial Shrew,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Dasyurinae,NA,Phascolosorex,NA,doriae,O. Thomas,1886,1,Phascologale doriae,"Thomas, O. 1886-11-25. Diagnosis of a new species of _Phascologale_. Annali del Museo civico di storia naturale di Genova 24:208.",https://www.biodiversitylibrary.org/page/29872112,"MSNG CE 589, MSNG CE 3907",lectotype,https://data.nhm.ac.uk/object/0cf9cc7d-d084-41dc-93fc-729c94d3be9e,"Arfak Mtns, Mori, Manokwari Div., Vogelkop, Prov. of Papua (= Irian Jaya), New Guinea, Indonesia.",NA,NA,"doriae (O. Thomas, 1886)|nouhuysii (Jentink, 1911)|umbrosus (Dollman, 1930)|pan (G. Stein, 1932)",NA,NA,NA,NA,NA,Red-bellied Dasyure;Red-bellied Marsupial Shrew,Oceania,Australasia,LC,0,0,0,Phascolosorex_doriae,0,sciname match,Phascolosorex_doriae,0,NA,Thomas,"(Thomas, 1886)",mdd:1000159,Mammalia,Phascolosorex doriae
Phascolosorex_dorsalis,1000160,6,Narrow-striped Dasyure,Narrow-striped Marsupial Shrew,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Dasyurinae,NA,Phascolosorex,NA,dorsalis,W. C. H. Peters & Doria,1876,1,Phascologale dorsalis,"Peters, W.C.H. and Doria, G. 1876-09. Diagnosi di tre nuove specie di Mammiferi della Nuova Guinea e di Salawatti. Annali del Museo civico di storia naturale di Genova 8:335-336.",https://www.biodiversitylibrary.org/page/7916095,MSNG CE 3916,lectotype,NA,"Arfak Mtns, Hatam, Manokwari Div., Vogelkop, Prov. of Papua (= Irian Jaya), New Guinea, Indonesia.",NA,NA,"dorsalis (W. C. H. Peters & Doria, 1876)|brevicaudatus (W. Rothschild & Dollman, 1932)|whartoni (Tate & Archbold, 1936)",NA,NA,NA,NA,NA,Narrow-striped Marsupial Shrew,Oceania,Australasia,LC,0,0,0,Phascolosorex_dorsalis,0,sciname match,Phascolosorex_dorsalis,0,NA,Peters & Doria,"(Peters & Doria, 1876)",mdd:1000160,Mammalia,Phascolosorex dorsalis
Murexia_aspera,1006753,6,Southern Short-furred Dasyure,NA,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Phascogalinae,NA,Murexia,NA,aspera,O. Thomas,1913,1,Phascogale murex aspera,"Thomas, O. 1913-08-01. On new mammals obtained by the Utakwa Expedition to Dutch New Guinea. Annals and Magazine of Natural History (8)12(68):205-212.",https://www.biodiversitylibrary.org/page/22099698,BMNH:Mamm:1913.6.18.90,holotype,https://data.nhm.ac.uk/object/e9a9f879-432e-48cc-847e-de6c131b4485,"Camp No. 3, Utakwa River, Netherlands New Guinea, 2,500 ft.",-4.4,137.2,"aspera (O. Thomas, 1913)",split from M. longicaudata,"Woolley, P. A., Krajewski, C., & Westerman, M. (2020). The endemic New Guinean genus Murexia (Dasyuromorphia: Dasyuridae). How many species? An analysis based on morphological, distributional and molecular data. Australian Journal of Zoology, 67(3), 134-144.|Baker, A., Eldridge, M., Fisher, D. O., Frankham, G., Helgen, K. M., Jackson, S. M., ... & Umbrello, L. (2023). Taxonomy and diversity of living Australasian marsupials. American and Australasian Marsupials: an evolutionary, biogeographical, and ecological approach, 1-85.",NA,NA,NA,NA,Oceania,Australasia,NE,0,0,0,NA,1,unmatched,NA,1,NA,Thomas,"(Thomas, 1913)",mdd:1006753,Mammalia,Murexia aspera
Murexia_habbema,1000182,6,Habbema Dasyure,Habbema Antechinus,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Phascogalinae,NA,Murexia,NA,habbema,Tate & Archbold,1941,1,Antechinus habbema,"Tate, G.H.H. and Archbold, R. 1941-01-30. Results of the Archbold Expeditions. No. 31. New rodents and marsupials from New Guinea. American Museum Novitates 1101:1-9.",https://www.biodiversitylibrary.org/item/170626,AMNH M-109812,holotype,http://portal.vertnet.org/o/amnh/mammals?id=urn-catalog-amnh-mammals-m-109812,"9 km N of Lake Habbema, North Slope of Mt. Wilhelmina, 2800 m, Prov. of Papua (= Irian Jaya), Indonesia.",NA,NA,"habbema (Tate & Archbold, 1941)|hageni (Laurie, 1952)",moved from Micromurexia to Murexia; likely represents multiple species,"Krajewski, C., Torunsky, R., Sipiorski, J. T., & Westerman, M. (2007). Phylogenetic relationships of the dasyurid marsupial genus Murexia. Journal of Mammalogy, 88(3), 696-705.|Woolley, P. A., Krajewski, C., & Westerman, M. (2020). The endemic New Guinean genus Murexia (Dasyuromorphia: Dasyuridae). How many species? An analysis based on morphological, distributional and molecular data. Australian Journal of Zoology, 67(3), 134-144.|Baker, A., Eldridge, M., Fisher, D. O., Frankham, G., Helgen, K. M., Jackson, S. M., ... & Umbrello, L. (2023). Taxonomy and diversity of living Australasian marsupials. American and Australasian Marsupials: an evolutionary, biogeographical, and ecological approach, 1-85.",NA,NA,NA,Habbema Antechinus,Oceania,Australasia,LC,0,0,0,Murexia_habbema,0,manual,Micromurexia_habbema,0,NA,Tate & Archbold,"(Tate & Archbold, 1941)",mdd:1000182,Mammalia,Murexia habbema
Murexia_longicaudata,1000183,6,Aru Short-furred Dasyure,NA,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Phascogalinae,NA,Murexia,NA,longicaudata,Schlegel,1866,1,Phascogale longicaudata,"Schlegel, H. 1866. Observations zoologiques. III. Nederlandsch Tijdschrift voor de Dierkunde 3:325-358.",https://www.biodiversitylibrary.org/page/49109857,"RMNH.MAM.35135.a, RMNH.MAM.35135.b",holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.35135.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.35135.b,"Wonumbai, Aru Islands, Indonesia.",-6,134.5,"longicaudata (Schlegel, 1866)","previously M. aspera, M. maxima, and M. murex","Krajewski, C., Torunsky, R., Sipiorski, J. T., & Westerman, M. (2007). Phylogenetic relationships of the dasyurid marsupial genus Murexia. Journal of Mammalogy, 88(3), 696-705.|Woolley, P. A., Krajewski, C., & Westerman, M. (2020). The endemic New Guinean genus Murexia (Dasyuromorphia: Dasyuridae). How many species? An analysis based on morphological, distributional and molecular data. Australian Journal of Zoology, 67(3), 134-144.|Baker, A., Eldridge, M., Fisher, D. O., Frankham, G., Helgen, K. M., Jackson, S. M., ... & Umbrello, L. (2023). Taxonomy and diversity of living Australasian marsupials. American and Australasian Marsupials: an evolutionary, biogeographical, and ecological approach, 1-85.",NA,NA,NA,NA,Oceania,Australasia,LC,0,0,0,Murexia_longicaudata,0,sciname match,Murexia_longicaudata,0,NA,Schlegel,"(Schlegel, 1866)",mdd:1000183,Mammalia,Murexia longicaudata
Murexia_maxima,1006754,6,Northern Short-furred Dasyure,Stein's Dasyure,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Phascogalinae,NA,Murexia,NA,maxima,G. Stein,1932,1,Phascogale maxima,"Stein, G. 1932. Einige neue Beuteltiere aus Neuguinea. Zeitschrift für Säugetierkunde 7:254-257.",https://www.biodiversitylibrary.org/page/45378728,ZMB 44328,holotype,NA,"Japen Island, Geelvinck Bay, western Netherlands New Guinea.",-1.75,136.16666666666666,"maxima (G. Stein, 1932)",split from M. longicaudata,"Woolley, P. A., Krajewski, C., & Westerman, M. (2020). The endemic New Guinean genus Murexia (Dasyuromorphia: Dasyuridae). How many species? An analysis based on morphological, distributional and molecular data. Australian Journal of Zoology, 67(3), 134-144.|Baker, A., Eldridge, M., Fisher, D. O., Frankham, G., Helgen, K. M., Jackson, S. M., ... & Umbrello, L. (2023). Taxonomy and diversity of living Australasian marsupials. American and Australasian Marsupials: an evolutionary, biogeographical, and ecological approach, 1-85.",NA,NA,NA,Stein's Dasyure,Oceania,Australasia,NE,0,0,0,NA,1,unmatched,NA,1,NA,Stein,"(Stein, 1932)",mdd:1006754,Mammalia,Murexia maxima
Murexia_melanura,1000184,6,Black-tailed Dasyure,Broad-footed Marsupial Mouse,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Phascogalinae,NA,Murexia,NA,melanura,O. Thomas,1899,1,Phascogale melanura,"Thomas, O. 1899-07-21. Description of a new _Phascogale_ from British New Guinea, obtained by dr. L. Loria. Annali del Museo civico di storia naturale di Genova 40:191-192.",https://www.biodiversitylibrary.org/page/7991474,MSNG CE 3915,lectotype,NA,"Moroka, 9° 24' S, 147° 32' E, 1300 m, Astrolabe Range, Central Prov., Papua New Guinea.",-9.4,147.5333,"melanura (O. Thomas, 1899)|modesta (O. Thomas, 1912)|mayeri (Dollman, 1930)",previously included M. wilhelmina; moved from Murexechinus to Murexia,"Krajewski, C., Torunsky, R., Sipiorski, J. T., & Westerman, M. (2007). Phylogenetic relationships of the dasyurid marsupial genus Murexia. Journal of Mammalogy, 88(3), 696-705.|Woolley, P. A., Krajewski, C., & Westerman, M. (2020). The endemic New Guinean genus Murexia (Dasyuromorphia: Dasyuridae). How many species? An analysis based on morphological, distributional and molecular data. Australian Journal of Zoology, 67(3), 134-144.|Baker, A., Eldridge, M., Fisher, D. O., Frankham, G., Helgen, K. M., Jackson, S. M., ... & Umbrello, L. (2023). Taxonomy and diversity of living Australasian marsupials. American and Australasian Marsupials: an evolutionary, biogeographical, and ecological approach, 1-85.",NA,NA,NA,Broad-footed Marsupial Mouse,Oceania,Australasia,LC (as Murexia melanurus),0,0,0,Murexia_melanurus,0,manual,Murexechinus_melanurus,0,NA,Thomas,"(Thomas, 1899)",mdd:1000184,Mammalia,Murexia melanura
Murexia_naso,1000185,6,Western Long-nosed Dasyure,Long-nosed Antechinus,Theria,Marsupialia,NA,Australidelphia,Dasyuromorphia,NA,NA,NA,NA,Dasyuridae,Phascogalinae,NA,Murexia,NA,naso,Jentink,1911,1,Phascogale naso,"Jentink, F.A. 1911. New and interesting mammals of the Dutch New-Guinea-Expedition to the Snow-Mountains. Notes from the Leyden Museum 33:233-238.",https://www.biodiversitylibrary.org/page/13206536,"RMNH.MAM.35134.a, RMNH.MAM.35134.b",holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.35134.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.35134.b,"south of Mt. Wilhelmina, about 2000 m, 4° 32' S, 138° 41' E, Helwig Mountains, Jayawijaya Div., Prov. of Papua (= Irian Jaya), Indonesia.",-4.53333,138.6833,"naso (Jentink, 1911)|centralis (Tate & Archbold, 1941)",previously included M. tafa; moved from Phascomurexia to Murexia,"Krajewski, C., Torunsky, R., Sipiorski, J. T., & Westerman, M. (2007). Phylogenetic relationships of the dasyurid marsupial genus Murexia. Journal of Mammalogy, 88(3), 696-705.|Woolley, P. A., Krajewski, C., & Westerman, M. (2020). The endemic New Guinean genus Murexia (Dasyuromorphia: Dasyuridae). How many species? An analysis based on morphological, distributional and molecular data. Australian Journal of Zoology, 67(3), 134-144.|Baker, A., Eldridge, M., Fisher, D. O., Frankham, G., Helgen, K. M., Jackson, S. M., ... & Umbrello, L. (2023). Taxonomy and diversity of living Australasian marsupials. American and Australasian Marsupials: an evolutionary, biogeographical, and ecological approach, 1-85.",NA,NA,NA,Long-nosed Antechinus,Oceania,Australasia,LC,0,0,0,Murexia_naso,0,manual,Phascomurexia_naso,0,NA,Jentink,"(Jentink, 1911)",mdd:1000185,Mammalia,Murexia naso
